Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TOPUP,Current,2020-10-25 22:52:10,2020-10-25 22:52:18,Top-Up by *0002,10.00,0.00,EUR,COMPLETED,10.00
EXCHANGE,Current,2020-10-25 23:22:15,2020-10-25 23:22:15,Exchange to CHF,-10.00,0.00,EUR,COMPLETED,0.00
TRANSFER,Current,2020-10-25 23:38:45,2020-10-25 23:38:45,Transfer from Revolut user,882.00,0.00,EUR,COMPLETED,882.00
TOPUP,Current,2020-10-26 00:47:59,2020-10-26 00:48:21,Top-Up by *0002,200.00,0.00,EUR,COMPLETED,1082.00
EXCHANGE,Current,2020-10-26 00:53:33,2020-10-26 00:53:33,Exchange to CHF,-400.00,0.00,EUR,COMPLETED,682.00
EXCHANGE,Current,2020-10-26 08:29:04,2020-10-26 08:29:04,Exchange to CHF,-600.00,0.00,EUR,COMPLETED,82.00
EXCHANGE,Current,2020-11-10 13:47:35,2020-11-10 13:47:35,Exchange to CHF,-82.00,0.00,EUR,COMPLETED,0.00
TRANSFER,Current,2020-12-24 22:20:50,2020-12-24 22:20:50,Transfer from Revolut user,40.00,0.00,EUR,COMPLETED,40.00
TRANSFER,Current,2020-12-25 16:03:06,2020-12-25 16:03:06,Transfer from Revolut user,50.00,0.00,EUR,COMPLETED,90.00
TRANSFER,Current,2020-12-27 15:28:54,2020-12-27 15:28:54,Transfer to Revolut user,-20.00,0.00,EUR,COMPLETED,70.00
TRANSFER,Current,2021-01-08 20:04:26,2021-01-08 20:04:26,Transfer to Revolut user,-30.00,0.00,EUR,COMPLETED,40.00
TRANSFER,Current,2021-01-09 15:21:25,2021-01-09 15:21:25,Transfer to Revolut user,-8.00,0.00,EUR,COMPLETED,32.00
TRANSFER,Current,2021-01-10 10:41:24,2021-01-10 10:41:24,Transfer to Revolut user,-15.00,0.00,EUR,COMPLETED,17.00
TRANSFER,Current,2021-01-10 11:06:52,2021-01-10 11:06:52,Transfer to Revolut user,-5.00,0.00,EUR,COMPLETED,12.00
EXCHANGE,Current,2021-01-24 21:07:44,2021-01-24 21:07:44,Exchange to EUR,11.92,0.00,EUR,COMPLETED,23.92
FEE,Current,2021-01-26 00:11:57,2021-01-26 00:11:57,Premium plan fee,-8.35,0.00,EUR,COMPLETED,15.57
TRANSFER,Current,2021-01-30 16:06:09,2021-01-30 16:06:09,Transfer to Revolut user,-15.00,0.00,EUR,COMPLETED,0.57
TOPUP,Current,2021-02-09 14:31:14,2021-02-09 14:31:47,Top-Up by *0002,100.00,0.00,EUR,COMPLETED,100.57
TRANSFER,Current,2021-02-09 14:32:16,2021-02-09 14:32:16,Transfer to Revolut user,-20.00,0.00,EUR,COMPLETED,80.57
TRANSFER,Current,2021-02-12 19:48:59,2021-02-12 19:48:59,Transfer from Revolut user,100.00,0.00,EUR,COMPLETED,180.57
TRANSFER,Current,2021-02-21 13:52:41,2021-02-21 13:52:41,Transfer from Revolut user,45.00,0.00,EUR,COMPLETED,225.57
FEE,Current,2021-02-26 00:01:05,2021-02-26 00:01:05,Premium plan fee,-8.17,0.00,EUR,COMPLETED,217.40
TOPUP,Current,2021-03-20 07:14:35,2021-03-20 07:15:02,Top-Up by *0002,600.00,0.00,EUR,COMPLETED,817.40
